VENDOR,PARTNUMBER,DESCRIPTION,LOCATION,QUANTITY,CONDITION
NOKIA,3HE07943AA,2P 10GE+4P GE 10G ETH CARD (-48/+24VDC),150124JGKn,550,USED
ERICSSON,ROJ208459/1,Transmission Interface Board,150124JGKn,512,USED
ERICSSON,KRC161413/1,RRUS B3 4G 1800MHZ ,150124JGKn,241,USED
HUAWEI,02113607,ATN 950B Assembly Chassis(-48V)  - ANDB00CASE01,150124JGKn,114,USED
CISCO,A900-IMA8S1Z,ASR 900 Combo 8 port SFP GE and 1 port 10GE IM,150124JGKn,106,USED
HUAWEI,03020GSA,BBU3900 - QWL1WBBPB4 - WCDMA BaseBand Processing&Interface Unit,150122PILv,102,USED
,CFP2-100G-SR10,CFP2-100G-SR10-SFP MODULE 850nm MMF 150m MTP/MPO DDM,150122PILv,93,USED
HUAWEI,03056111,ANDD000EX2S0 2 Channels 10GE Optical Interface Board(SFP+),150124JGKn,67,USED
HUAWEI,03054292,4 Channels GE/FE Optical Interface Board  ATN950B AND1EM4F0P1 ,150124JGKn,58,USED
CISCO,A900-PWR1200-D,ASR 900 1200W DC Power Supply,150124JGKn,44,USED
CISCO,A900-RSP3C-400-S,A900-RSP3C-400-S ASR 903 Router Switching Processor Controller,150124JGKn,44,USED
HUAWEI,03057155,UBBPe4 Universal Baseband Processing Unit e4 WD2DUBBPE400,150124JGKn,39,USED
NOKIA,3KC50388AA,PSS-24X POWER SUPPLY FILTER,150124JGKn,36,USED
,GLC-LH-SMD,1000BASE-LX/LH SFP TRANSCEIVER MODULE -MMF/SMF -1310NM -DOM,150124JGKn,33,USED
JUNIPER,MS-MPC-128G,BNDL - Multi-service Services MPC - 128G of Memory - 4 NPUs Enabled - Bundle of MS-MPC-64G and S-MS-MPC-128G-UPG. Requires JunOs 13.2 or higher,150122PILv,30,USED
CISCO,A903-FAN-E,ASR 903 FAN Tray With Filter Slot,150124JGKn,24,USED
NOKIA,3KC35464AA,SC96 - SWITCH CARD 4T8,150124JGKn,24,USED
NOKIA,3AL78836AB,PQ2/EQC,150122PILv,23,USED
CISCO,ASR903-CHASSIS,ASR-903 V01 ASR 903 900 Series Router Chassis,150124JGKn,22,USED
NOKIA,3AL81289AA,1660SM STM16 SLIM PT-UP SFP,150122PILv,22,USED
HUAWEI,02310VTE,WD2M048BBU10 BBU3910 Box,150122PILv,20,USED
NOKIA,3HE08217AA,CFP2 - 100G LR4 10KM LC ROHS6/6 0/70C,150124JGKn,20,USED
NOKIA,3FE53701AD,FANT-F BITS/SYNCE/IEEE1588/TOD ETSI/MII,150124TJKn,20,USED
HUAWEI,02311HKL,WD5M18397100 RRU3971 for Multi-mode 1800MHz (4*40W),150124JGKn,17,USED
NOKIA,8DG62413AA,PSC1-6 - PASSIVE SPLITTER/COMBINER,150124TJKn,17,USED
HUAWEI,02311KHK,RRU3971 - Remote Radio Unit - 1800MHz - Multi-Mode - 4x40W,150122PILv,16,USED
HUAWEI,03024QLM,SL91ISM8 Versatile Dual IF Board RTN 950a,150124TJKn,16,USED
FORTINET,PSU-5000B,Power Supply BUNIT 5000B  INPUT100-220 OUTPUT 48VD,150122PILv,16,USED
HUAWEI,03021PKH,SL91EG4P 2*GE(SFP/RJ45)+2*GE(RJ45/Power over Ethernet)Gigabit Ethernet Board with switch function,150124JGKn,15,USED
HUAWEI,03021YTF,SL91CSHU TDM/Hybrid/Packet system control and Cross-connect Board,150122PILv,14,USED
JUNIPER,CFP-GEN2-100GBASE-LR4,CFP MODUL SMF 10KM 1310NM 740-047682,150124JGKn,12,USED
HUAWEI,03030ESR,TN11MCAB01,150124TJKn,11,USED
CISCO,ASR-9912-SFC110,Shared Forwarding Card (SFC) used in Cisco ASR 9912 router,150124JGKn,10,USED
JUNIPER,SRX5K-SPC-4-15-320,SRX 5000 Series Services processing card,150124JGKn,10,USED
HUAWEI,03030LJV,OptiX OSN 6800 TN12ND2T02 2 X (4 X ODU1 multiplexing OTU2) optical interface board (AFEC Super WDM Tunable) 50GHz (800ps-nm Rx1 PIN Tx1-3dBm 2dBm LC),150124JGKn,10,USED
HUAWEI,03050793,SLQ1 // OPTIX OSN 1500  - SSR1SLQ110  - 4XSTM-1 OPTICAL INTERFACE BOARD,150124JGKn,10,USED
CISCO,QSFP-100G-LR4-S,100GBASE LR4 QSFP Transceiver - LC - 10km over SM,150124JGKn,9,USED
NOKIA,8DG02608AB,SSY - MATRIX AND TIMING (TSS-100),150124JGKn,9,USED
FORTINET,FCTRL-5913C,Networking blade with 2 x 100GE CFP2 Fabric Ports and 2 x 10GE SFP+ Base Ports - Includes 2 SR SFP+.,150122PILv,8,USED
NOKIA,3HE12313AA,SFM - 7950 XRS-20/20E SFM2-X20S,150124JGKn,8,USED
HUAWEI,03030QLW,TN16FIU01 Fiber Interface Board ,150124JGKn,8,USED
ERICSSON,BMK90591/1,POWER SUPPLY SET DC/DC PS - PSU 2715W S,150124JGKn,8,USED
JUNIPER,RE-S-1800X4,Quad Core 1800Ghz with 16G Memory - Redundant - MX s,150122PILv,8,USED
JUNIPER,MPC4E-3D-2CGE-8XGE,2x100GE + 8x10GE MPC4E,150124JGKn,8,USED
JUNIPER,SCBE-MX,Enhanced Switch Control Board,150124JGKn,8,USED
HUAWEI,03055702,Universal Main Processing & Transmission Unit With 2FEGE Interface UMPTB9,150122PILv,8,USED
HUAWEI,03021MXJ,SL91EG4 2*GESFP-RJ45+2*GERJ45 GIGABIT ETHERNET BOARD WITH SWITCH FUNCTION,150124JGKn,8,USED
ERICSSON,ROJ1192325/1,SAU3,150124JGKn,8,USED
HUAWEI,02310QDG,WD5M08LRRU68 RRU3268 for LTE 800M (2*40W),150122PILv,7,USED
NOKIA,3HE03125AA,7705 SAR-8 MDA OC-3/STM-1 POS Card (4 Ports),150122PILv,7,USED
HUAWEI,02310NJB,OptiX RTN.PI-DC B10.power injector,150124TJKn,7,USED
HUAWEI,03058626,HERT BBU WD22UBBPg2 Universal Baseband Processing Unit,150124JGKn,7,USED
HUAWEI,03022TLJ,SLF2CSHO 16*E1(TDM)/2*STM-1(SFP)/4*GE(RJ45)/2*GE(SFP) Hybrid System Control and Cross-connect Board,150122PILv,7,USED
FORTINET,FG-5001E,Fortinet FG-5001E Security blade with 2 x 40GE QSFP+ slots - 2 x 10GE SFP+ slots - 2x GE RJ45 management port - FortiASIC NP6 and CP9 hardware accelerated.,150122PILv,7,USED
HUAWEI,03022HEM,WD2DUBBPD600 Universal Baseband Processing Unit d6 UBBPD6,150124JGKn,6,USED
NOKIA,3AL92112AA,SSY-4XSTM16/4XOC-48 PORT,150124JGKn,6,USED
CISCO,A9K-3KW-AC-V01,3kW AC Power Module,150124JGKn,6,USED
NOKIA,8DG02666AA,0,,6,USED
JUNIPER,MX-MPC3E-3D,MPC3E - Bundle - with Support for 100GE - 40GE and 10,150122PILv,6,USED
JUNIPER,MIC3-3D-1X100GE-CFP,MIC3-3D-1X100GE-CFP MIC with 1x100GE CFP interface,150124JGKn,6,USED
HUAWEI,03020WXP,TN16PIU Power Interface Board,150124JGKn,5,USED
HUAWEI,02311QMD,WD5M185901GB RRU5901 for Multi-Mode 1800MHz(4*40W),150124JGKn,5,USED
CISCO,CFP-100G-LR4,100GBASE-LR4 CFP Module,150124JGKn,5,USED
NOKIA,3HE07158BA,IMM 7x50 12-PT 10GE MultiCore SFP + L3BQ,150122PILv,5,USED
HUAWEI,03038466,NetEngine40 ECR5M0L2XXA20 2-Port 10GBase LAN/WAN-XFP Flexible Card A(P40-A.Supporting 1588v2),150124JGKn,5,USED
HUAWEI,03030REL,NETENGINE40E -CR51L1XE8GF0 -1-PORT 10GBASE LAN/WAN-SFP+ + 8-PORT 100/1000BASE,150124JGKn,5,USED
,PWR-C49M-1000AC,CISCO 4900M AC Power Supply 1000 watts,150124TJKn,5,USED
HUAWEI,03058657,ANKD01EXAS01 10 Channel 10GE Optical Interface Board (SFP+),150124JGKn,4,USED
ALLOT,SGSE-SGCC-300,Sgse-sgcc-300- Card Advanced Allot Cc-300,150124JGKn,4,USED
HUAWEI,03030WEE,CR5D00L2XF71 2-Port 10GBase LAN/WAN-SFP+ Physical Interface Card(PIC),150124JGKn,4,USED
HUAWEI,03023HCL,TN13STG Synchronous Timing Generation Board,150124JGKn,4,USED
HUAWEI,03033CSR,TN17D400240-channel Demultiplexing Board(C_Odd -196.05THz~192.15THz -100GHz -Thermal AWG -LC),150124JGKn,4,USED
HUAWEI,03033CSP,TN17M40V02 40-Channel Multiplexing Board With VOA(C_Odd -196.05THz~192.15THz -100GHz -LC),150124JGKn,4,USED
HUAWEI,03030GUH,TN11DCP02 Double Channel Protect Board(MM),150124JGKn,4,USED
NOKIA,8DG02607AA,SSY-POWER SUPPLY FILTER,150124JGKn,4,USED
HUAWEI,03022VHK,SL91ISM6 Versatile Dual IF Board,150124JGKn,4,USED
HUAWEI,03059559,SL93CSHUF01 CARD CSHUF,150122PILv,4,USED
HUAWEI,02113821,RTN 950A Assembly Chassis(-48V),150124TJKn,3,USED
ALLOT,SGT-SFB-400,Sgt-sfb-400-card Advanced Tca Sfb-400,150124JGKn,3,USED
ERICSSON,ROA1284188/3,ALSW - Alarm Switch Board - SSR,150124JGKn,3,USED
HUAWEI,03030TTS,TN16WSM901 9-Port Wavelength Selective Switching Multiplexing Board(C_Band -196.05THz~192.10THz -50GHz -LC),150124JGKn,3,USED
HUAWEI,03033CSN,TN17M40V01 40-Channel Multiplexing Board With VOA(C_Even -196.00THz~192.10THz -100GHz -LC),150124JGKn,3,USED
HUAWEI,03055293,IP Interface Unit (4 GE - Optical) WP1D000GOU03,150122PILv,3,USED
HUAWEI,03030RXB,OSN 9800 U16/U32/U64 2-port 100G Tributary Service Processing Board TNV1T402C01,150124JGKn,3,USED
HUAWEI,03033TBC,TMP2CTU02 SYSTEM CONTROL AND COMMUNICATION BOARD WITH CLOCK PROCESSING FUNCTION ,150124JGKn,3,USED
HUAWEI,02317275,BTS 3012 PMU 01B,150124JGKn,3,USED
HUAWEI,02312RQE,RRU5502 B03 1800-B01 2100MHz 48V33A 4T4R,150124JGKn,3,USED
HUAWEI,02310MAA,3838 RRU.B01.2100-2.080.2T2R.Y/XC.SFP.25900DC 3G,150122PILv,3,USED
HUAWEI,02311GYV,RRU3959 2100MHz 900/1800/2100MHz multi‑band (2×60 W) GSM/WCDMA/LTE,150124JGKn,3,USED
HUAWEI,02311UWT,WD5M215904GB RRU5904 for Multi-Mode 2100MHz(4*60W),150124JGKn,3,USED
JUNIPER,MPC-3D-16XGE-SFPP,ROUTER LINE CARD,150122PILv,3,USED
HUAWEI,03021PBA,1.6T Universal Cross Connect.System Control and Clock Processing Board-ODUk.PKT.VC4&VC12.,150124TJKn,3,USED
HUAWEI,03030NTM,NPO2E TN55NPO2ES02 10G PID line service processing board - 20-channel,150124JGKn,3,USED
HUAWEI,03053220,SSN4SL64 1xSTM-64 Optical Interface Board (check if 03020JVN is compatible),150124JGKn,3,USED
ERICSSON,ROJ208842/3,GEP3-SSD,150122PILv,3,USED
ERICSSON,KDU127174/4,DUW4101 R2 version,150122PILv,3,USED
HUAWEI,03030QBJ,CR5D00L2XF70 2x10GE-SFP+ Routers,150124JGKn,2,USED
NOKIA,3HE11095AA,7950 XRS-20E POWER CONNECT MODULE FAN,150124JGKn,2,USED
ERICSSON,BFB102103/1,FAU4 Cooling Fan Unit,150124JGKn,2,USED
NOKIA,3HE11099AA,APEQ-DC-4275 POWER EQUALIZER MODULE,150124JGKn,2,USED
JUNIPER,SRX5K-MPC,MPC for 100GE - 40GE - 10GE - 1GE MIC cards - Supported by JUNOS release 12.1X46-D10 onwards,150124JGKn,2,USED
JUNIPER,SRX5K-SCBE,SRX 5000 Series Services processing card,150124JGKn,2,USED
HUAWEI,03059258,"ANND0EM10F00 10 Channels GE/FE Optical Interface Board -High anti-corrosion
",150124JGKn,2,USED
ERICSSON,ROA1284190/3,RPSW2 - 400G,150124JGKn,2,USED
ALLOT,SGSE-SFB-300,SFB-300 Module,150124JGKn,2,USED
JUNIPER,M120-CFPC-1XGE-XFP-C,M120 cFPC 1-port 10 Gigabit Ethernet LAN/WAN interface (Requires an XFP Optics Module ,150124TJKn,2,USED
HUAWEI,03031FXM,TNF3SCC01 System Control & Communication Board with OSC,150124JGKn,2,USED
HUAWEI,03024YEH,TMA1UXCL System Control - Cross-connect - Timing - and Line Board,150124JGKn,2,USED
HUAWEI,03031YXT,SYSTEM CONTROL & COMM BOARD WITH OSC (TNF3SCC03),150124JGKn,2,USED
HUAWEI,03026EAS,TMF1AUX System auxiliary Communication Board With Clock Processing Function,150124JGKn,2,USED
HUAWEI,03030LPW,TN11DCU14 Dispersion Compensation Unit(D.80km.for G.655),150124JGKn,2,USED
HUAWEI,03023NRR,TN52SRAPXF SUPER EXTENED C-BAND BACKWARD RAMAN BASE BOARD WITH 1 PLUGGABLE ERBIUM DOPED FIBER HYBRID OPTICAL AMPLIFIER AND XFIU (RAMAN GAIN 14-18DB FOR G.652),150124JGKn,2,USED
HUAWEI,03030GYH,03030GYH TN17LSCT61 100GBS WAVELENGTH CONVERSION,150124JGKn,2,USED
HUAWEI,034070302,TNG2OACU14S Pluggable Optical Amplifier - ultra C-band  - Gain 8~14dB - Max 22.5dBm Out,150124JGKn,2,USED
HUAWEI,034070306,TNG2OACU32S Pluggable Optical Amplifier - ultra C-band  - Gain 23~32dB - Max 22.5dBm Out,150124JGKn,2,USED
HUAWEI,03030TTT,TN16WSD901 9-Port Wavelength Selective Switching Demultiplexing Board(C_Band -196.05THz~192.10THz -50GHz -LC).,150124JGKn,2,USED
HUAWEI,03021BRG,WDM TN11LOA01 8 X ANY-RATE MUX OTU2 WAVELENGTH CONVERSION BOARD,150124JGKn,2,USED
HUAWEI,03030YHP,TN12MR8V01	8-Channel Optical Add/Drop Multiplexing Board with VOA(100GHz -192.1THz~192.8THz),150124JGKn,2,USED
HUAWEI,03030MSG,TNF2ELOM01 DWDM OSN1800 ENHANCED 8xMULTIRATE-SERVICE PORT,150124JGKn,2,USED
HUAWEI,03031YTS,03031YTS-LSC BOARD TNF1LSCT65,150122PILv,2,USED
HUAWEI,03020WQE,TN16EFI EMI Filter Interface Board,150124JGKn,2,USED
HUAWEI,03030HED,TN12DCP01 Double Channel Protect Board(SM),150124JGKn,2,USED
HUAWEI,03020EUN,TN51ATE Interface Board of Alarm & Timing & Expanding,150124JGKn,2,USED
HUAWEI,03058118,ANDD03CXPA00 System Control -Cross-connect and Multi-protocol Process Unit,150122PILv,2,USED
HUAWEI,03030JFJ,TN12XCS02 Centralized Cross Connect Board,150124JGKn,2,USED
HUAWEI,52414905,Microwave ODU -RTN XMC -26G --3E -High site -H -25837MHz -26173MHz -24829MHz -25165MHz -1008MHz -Sub Band B -25837MHz -26173MHz,150122PILv,2,USED
HUAWEI,02311TVV,RRU5309 for LTE 800MHz(2*60W). WD5M085309GB,150124JGKn,2,USED
HUAWEI,02311TBD,WD5M215909GB RRU5909 for Multi-Mode 2100MHz(2*60W),150124JGKn,2,USED
HUAWEI,02311SJK,RRU5905W FOR MULTI-MODE 1800MHZ ( 2*80W ),150124JGKn,2,USED
HUAWEI,02312NVQ,QSFP28-100G-1310-40km-SM High Speed Transceiver -QSFP28 -1310nm -100G --2.9dBm -2.9dBm --20.9dBm -LC -40km,150124JGKn,2,USED
HUAWEI,03058542,HERT BBU WD22UMPTg2 Universal Main Processing Transmission Unit (2 Electrical FE-GE2 Optical GE-XGE-YGE UMPTg2),150124JGKn,2,USED
HUAWEI,03020JVN,OPTIX OSN 3500 -SSN4SL64 -STM-64 OPTICAL INTERFACE BOARD -1X1 ASSEMBLED BOARD (check if 03053220 is compatible) ,150124JGKn,2,USED
HUAWEI,03052359,SSND00EMS212 OSN1500 EMS212 (needs verify),150124JGKn,2,USED
ERICSSON,KDU127161/3,DUW3001,150122PILv,2,USED
HUAWEI,02312RSM,ANRB00CASE01 Assembly Chassis(DC),150124JGKn,1,USED
HUAWEI,02301621,TMBK01AFB Assembly Chassis(OptiX OSN 1800 II TP -DC),150124JGKn,1,USED
HUAWEI,02311VFF,WD2M0BBU5900 BBU5900 Box (Shelf),150124JGKn,1,USED
HUAWEI,02120559,W048FAU0A FAN 02A,150124TJKn,1,USED
HUAWEI,52413158,Microwave Outdoor Unit -RTN XMC -7G --2 -154MHz -Sub Band F -Low site -H  -7212MHz -7268MHz -Without doc -WR-112 -H01.,150124TJKn,1,USED
HUAWEI,52413154,ODU(XMC-2-7G) Microwave Outdoor Unit -RTN XMC -7G --2 -154MHz -Sub Band D -Low site -H  -7128MHz -7184MHz -Without doc -WR-112 -H01.,150124TJKn,1,USED
HUAWEI,52413159,ODU(XMC-2-7G) Microwave Outdoor Unit -RTN XMC -7G --2 -154MHz -Sub Band F -High site -H  -7366MHz -7422MHz -Without doc -WR-112 -H01.,150124TJKn,1,USED
HUAWEI,52451243,52451243-rtn 510 MICROWAVE 5g,150124JGKn,1,USED
NOKIA,8DG08099AA,10X1GESY 10G Packet Transport Processor (PTP),150124JGKn,1,USED
HUAWEI,03033GMA,R2CXPA Processing Board,150124JGKn,1,USED
HUAWEI,03030NGC,TN55NPO2EL02 OptiX OSN 8800 -TN55NPO2EL02 -10G PID Line Service Processing Board (196.00THz~193.8THz -4*10G -long-haul -20-channel extended),150124JGKn,1,USED
HUAWEI,03030MRQ,TNF1LEM1801 16*GE+2*10GE+2*OTU2 Ethernet switch board,150124JGKn,1,USED
HUAWEI,02311TVH,WD2M0UPEUE00 Power and Environment interface Unit(-48V) UPEUe,150124JGKn,1,USED
HUAWEI,03022BAJ,WD8D0RFC0800 MRFC RF INTERFACE UNIT,150124JGKn,1,USED
HUAWEI,03057628, Evolved Service Aware Module Board,150124TJKn,1,USED
HUAWEI,03023QJN,OptiX OSN 9800 TN11AST2 - bidirectional optical supervisory channel and timing transmission unit.,150124JGKn,1,USED
HUAWEI,03030ULA,TNF2OBU01 C-BAND Optical Amplifier Unit(MAX -3dBm IN and 20dBm OUT -Gain 23dB -With EVOA),150124TJKn,1,USED
HUAWEI,03033HCK,TMB1LDX01  2X10GB/S Wavelength Conversion Board NE40E-X3A,150124TJKn,1,USED
HUAWEI,034070261,TN52OACE106 - Pluggable Optical Amplifier - Extended C-band - Gain 13~23dB - Max 21.5dBm Out - Support WD,150122PILv,1,USED
HUAWEI,03030LML,TN12OAU105 C-BAND Optical Amplifier,150124JGKn,1,USED
HUAWEI,03030NNW,TN13OAU106 C-BAND Optical Amplifier Unit(MAX 4dBm IN and 20dBm OUT -Gain 16~23dB),150124JGKn,1,USED
HUAWEI,03033AKL,TN17D4001 40-channel Demultiplexing Board,150124JGKn,1,USED
HUAWEI,03032YYG,TN17M40V01 40-Channel Multiplexing Board,150124JGKn,1,USED
HUAWEI,03030NHT,TN12M40V02 40-Channel Multiplexing Board With VOA(C_Odd -196.05THz~192.15THz -100GHz -LC),150124JGKn,1,USED
HUAWEI,03033CSQ,TN17D4001 40-channel Demultiplexing Board(C Even -196.00THz~192.10THz -100GHz -Thermal AWG -LC),150124JGKn,1,USED
HUAWEI,03032VAA,TN52WSMD901 9-Port flexible Wavelength selective multiplexing and Demultiplexing board(Extended C_Band -191.25~196.075THz -37.5GHz~400GHz -Support WD),150124JGKn,1,USED
HUAWEI,03030URG,TNF1EMR801-Enhanced 8-ch Optical Add/Drop Multiplexing Board -100GHz(192.1/192.2/192.3/192.4/192.5/192.6/192.7/192.8THz).,150122PILv,1,USED
HUAWEI,03030LXQ,TN12WSMD401 Mux DeMux Board,150124JGKn,1,USED
HUAWEI,03030TTM,TN13WSMD401 4-Port Wavelength selective multiplexing and Demultiplexing board (C_Band -196.05THz~192.10THz -50GHz -LC),150124JGKn,1,USED
HUAWEI,03030KQK,SSR2CXLNLN STM-1/4/16 System CONTROL  - Cross-connect  - Optical Interface Board,150124JGKn,1,USED
ERICSSON,BMG980387/1,DISTR. EQUIPMENT/BFU 01 02; BATTERY FUSE; 200A,150122PILv,1,USED
ERICSSON,BML161184/1,PSU AC 03 / Power Supply UNIT Rectifier,150122PILv,1,USED
HUAWEI,02311KVA,RRU3260 LTE 2600 MHz (2T4R) Remote Radio Unit,150124TJKn,1,USED
HUAWEI,02310SHW,pRRU3901 -WD6M1PRU3 -pRRU -LTE Single-mode Remote Radio Unit(BandIII:TX1805-1860MHz/RX1710-1765MHz -PoE/12VDC -1.25G -2T2R -2*100mW - Installation Kit will be checked) ,150122PILv,1,USED
HUAWEI,02310MNS,WD5M9E393600 RRU3936 for Multi-mode 900MHz EGSM,150122PILv,1,USED
HUAWEI,02310SUV,((rru 1800mhz 4g Wd80drh3918b)) not verified,150124JGKn,1,USED
HUAWEI,02311QFY,WD5M21395300 RRU3953 RRU.B01-2100MHZ 2T4R,150124JGKn,1,USED
HUAWEI,03030LMT,TN52NS3T01 40G Line Service Processing Board(AFEC.DQPSK.Tunable).50GHz(Rx1_PIN.Tx1_-5dBm~0dBm.LC).,150124JGKn,1,USED
HUAWEI,03057484,CR5D00E2ND70 2-Port 100GBase-QSFP28 Integrated Line Processing Unit (LPUI-240),150124JGKn,1,USED
HUAWEI,02312BSS,OSN010N24 High Speed Transceiver -QSFP28 -1310nm -100G --4.3dBm -4.5dBm --8.6dBm -LC -SMF -10km,150124JGKn,1,USED
HUAWEI,03032BXT,TNF1C1CFPT65 100G CFPT65(Metro -SDFEC2 -Coherent wDCM -Tunable -expanded C Band --3dBm-2dBm --18dBm -50GHz -LC),150124JGKn,1,USED
HUAWEI,034060727,OPTICAL TRANSCEIVER -CFP2 -4*25GB/S(1310NM BAND) -103.125GB/S --,150124JGKn,1,USED
NOKIA,3HE06937AA,7950 C-XMA 20X10G SFP+ L3BQ IPCORE,150124JGKn,1,USED
TATA,TPSMR1,NETWORK BOARD,150124JGKn,1,USED
NOKIA,3HE02776AB,A8-ETH V2,150124JGKn,1,USED
JUNIPER,MIC-3D-20GE-SFP,MIC-3D-20GE-SFP GIGABIT MODULAR INTERFACE CARD,150122PILv,1,USED
HUAWEI,03030FXP,TN110BU205 OBU2,150124TJKn,1,USED
HUAWEI,03055288,XPUc,150124TJKn,1,USED
HUAWEI,03055052,2-Port 10GBase LAN/WAN-SFP+ + 24-Port 100/1000Base-X-SFP Integrated Line Processing Unit E(LPUI-51-E).,150124JGKn,1,USED
HUAWEI,03023DDU,OPTIX OSN 3500 -SSN4EGS401 -4-PORTGIGABIT ETHERNET SWITCHING PROCESSING BOARD,150124JGKn,1,USED
HUAWEI,03020RDV,OPTIX RTN 900 -SL91IF1 -TDM IF BOARD,150124JGKn,1,USED
HUAWEI,03056240,PARC WP11SCUC GE SWITCHING AND CONTROL BOARD,150124JGKn,1,USED
ERICSSON,KDU127174/3,DUW3101,150122PILv,1,USED
ERICSSON,ZHY60119/1,SAU 02 01,150122PILv,1,USED
CISCO,WS-C3750G-24T-S,CISCO Catalyst 3750 24 10/100/1000T + IPB Image,150122PILv,1,USED
NOKIA,3AL78938AA,MATRIX HI-CAP,150124JGKn,0,USED
HUAWEI,03020QYR,BB3900 QWL1WBBPD2 WCDMA BaseBand Processing Unit,150122PILv,1564,USED
NOKIA,3HE02774AB,CSM-2,150122PILv,1042,USED
ERICSSON,ROJ1192201/2,MSB3,150122PILv,963,USED
KATHREIN,86010148,Kathrein Remote Control Unit - RCU AISG 2.0,150122PILv,893,USED
HUAWEI,03021VHD,BBU3900 -QWL3WBBPF3 -Baseband Processing Unit (CE:UL384/DL512) -1*1,150122PILv,749,USED
HUAWEI,02319897,UPEUc,150122PILv,721,USED
HUAWEI,03054886,WD2D0UMPTB02 Universal Main Processing & Transmission unit with 4E1 and 2FE/GE interface UMPTb2.,150122PILv,626,USED
HUAWEI,02310KKQ,Wd5m21382600 HUAWEI Rru 2100mhz,150122PILv,521,USED
NOKIA,3HE06151AA,A8-1GB,150122PILv,509,USED
HUAWEI,03020PSS,BBU3900 - QWL2WBBPB3 - WCDMA BaseBand Processing Unit,150122PILv,449,USED
ERICSSON,ROJ2081305/1,MMU2 D,150122PILv,446,USED
HUAWEI,03051122,PARC WP11OIUA 1 PORT CHANNELIZED OPTICAL INTERFACE UNIT REV A,150122PILv,444,USED
HUAWEI,03020JQE,WMPT,150122PILv,439,USED
ERICSSON,ROJ1192106/75,GPB,150122PILv,439,USED
HUAWEI,03051117,SCUa,150122PILv,437,USED
HUAWEI,03057252,WD2DUMPTE201Universal Main Processing & Transmission Unit (2 Electrical FE/GE&2 Optical FE/GE/XGE -UMPTe2).,150122PILv,427,USED
NOKIA,3HE06151AC,8 PORT GE SFP Board V3 (-48/+24 VDC),150122PILv,424,USED
HUAWEI,03052762,WP1D000GOU01|IP INTERFACE UNIT (4 GE - OPTICAL)|IP INTERFACE UNIT (4 GE - OPTICAL),150122PILv,424,USED
HUAWEI,03020RAR,SL91CSH  Hybrid System Control And Cross-connect Board-1,150122PILv,396,USED
HUAWEI,03051119,WP11XPUa XPUa Extensible Processing Unit,150122PILv,387,USED
HUAWEI,03022KTE,ANDD00CXPE02 System Control -Cross-connect and Multi-protocol Process Unit,150122PILv,359,USED
ERICSSON,BFL901009/4,C22P Sup 6601,150122PILv,339,USED
HUAWEI,03051813,PARC WP13DPUc DATA PROCESSING UNIT REV:c,150122PILv,328,USED
HUAWEI,03020RGT,RTN910 CSHC UNIT (16E1+2FE+2GE+2STM1),150122PILv,325,USED
HUAWEI,03056112,"ANDD00EM8M00 4 Channels GE/FE Optical Interface and 4 Channels GE/FE Electric Interface Board
 ATN 950B",150122PILv,322,USED
ERICSSON,ROJ208821/3,GEP3-24 GB,150122PILv,312,USED
HUAWEI,03052781,SPUb Signalling Processing Unit,150122PILv,309,USED
HUAWEI,02310SFM,WD2M00PEIUD2 Power And Environment Interface Unit,150122PILv,301,USED
ERICSSON,NTM1012589/1,RBS 6601 V2 Chassis,150122PILv,298,USED
NOKIA,3AL78832AA,1660 SM Access Module for 21x2 Mbit/s 120 ohms,150122PILv,295,USED
HUAWEI,02315639,WD2M00UEIU00 Universal Environment Interface Control Unit,150122PILv,279,USED
ERICSSON,BMR910423/2,D.C. CONVERTER/PSU; Power Supply UNIT,150122PILv,272,USED
ERICSSON,ROJ1192201/1,MSB3;16DSP 600-850MH,150122PILv,259,USED
HUAWEI,03052799,PARC WP11DPUE DATA PROCESSING UNIT REVe,150122PILv,256,USED
HUAWEI,03030MDT,TN11SFIU01 Fiber Interface Board OSN 8800-9800,150122PILv,253,USED
NOKIA,3HE06151AB,8 PORT GE SFP Board V2 (-48/+24 VDC).,150122PILv,247,USED
HUAWEI,03020KHX,TNDM000PIU00,150122PILv,247,USED
HUAWEI,03056113,"ANDD000EX1S0 1 Channel 10GE Optical Interface Board(SFP+)
",150122PILv,237,USED
ERICSSON,ROA2191158/1,GP8      ,150122PILv,235,USED
ERICSSON,KRC161149/1-03,RBS 2216 DRU  -Transceiver-EGSM DRU9E-03,150122PILv,224,USED
HUAWEI,03030HNK,HERT BBU - WD22GTMUa - GBTS Main Processing & Transmission Unit (4E1 + 2FE + 6CPRI + 1EXT),150122PILv,220,USED
HUAWEI,03051118,PARC WP11TNUA SWITCHING NETWORK BOARD REV:A ,150122PILv,219,USED
HUAWEI,03020LAJ,BBU3900 - QWL1WBBPB2 - WCDMA BaseBand Processing&Interface Unit,150122PILv,216,USED
ERICSSON,BML901124/1,Power Supply UNIT/PSU-AC-31,150122PILv,215,USED
ERICSSON,ROJ1192403/1,SPB4,150122PILv,215,USED
HUAWEI,02315528,WD2MUPEUA - Power Supply AND ENVIRONMENT INTERFACE BOARD,150122PILv,193,USED
HUAWEI,03020KHV,System Control & Communication Board with OSC -Wind Cooling Mode,150122PILv,187,USED
ERICSSON,BKV106208/1,Fan assembly - Radio 2212,150122PILv,186,USED
