VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
ERAT,LC-SC-10MT-SM,Optical Cable LC-SC-10MT SINGLE MODE ,150122PILv,129,SPARE
ERAT,LC-SC-15MT-SM,Optical Cable LC-SC-15MT SINGLE MODE ,TTY-2,172,SPARE
ERAT,LC-SC-25MT-SM,Optical Cable LC-SC-25MT SINGLE MODE ,TTY-2,58,SPARE
CANOVATE,LC-SC-30MT-SM,Optical Cable SINGLE MODE LC-SC-30MT ,TTY-2,396,SPARE
ERAT,LC-SC-3MT-SM,Optical Cable LC-SC-3MT-SINGLE MODE ,150122PILv,48,SPARE
ERAT,LC-SC-50MT-SM,Optical Cable LC-SC-50MT SINGLE MODE ,150124TJKn,7,SPARE
ERAT,LC-SC-5MT-SM,Optical Cable LC-SC-5MT SINGLE MODE ,TTY-2,1116,SPARE
JUNIPER,MX2000-LC-ADAPTER,MX2000 Line Board Adapter - Spare,150122PILv,15,SPARE
CISCO,N7K-M148GT-11L.,NEXUS 7000 - 48 PORT 10/100/1000 Module WITH XL OP,150122PILv,1,SPARE
HENGXIIN,NKJ157,JUMPER CABLE 3.5m RFF - 1/2   - 7/16m-7/16 RIGHT ANGLE MAL,150122PILv,355,SPARE
CISCO,PWR-2KW-DC-V2,2KW DC Power Module Version 2,150122PILv,24,SPARE
CISCO,PWR-44KW-DC-V3,4.4KW DC Power Module Version 3,150122PILv,40,SPARE
ERICSSON,ROJ208304/1,XDB,150122PILv,18,SPARE
ERICSSON,RPM2534891/2000,OPTICAL SIGNAL CABLE,150122PILv,15,SPARE
CISCO,RSP720-3C-GE,CISCO 7600 Router,150122PILv,0,SPARE
FINISAR,RYT921609/1,SFP GB-TX  RJ45 Ethernet Transceiver 1000Base-T 1,150122PILv,0,SPARE
ERAT,SC-LC-10MT-SM,Optical Cable SC-LC-10MT SINGLE MODE ,150122PILv,26,SPARE
ERAT,SC-LC-5MT-SM,Optical Cable SC-LC-5MT SINGLE MODE ,150122PILv,275,SPARE
ERAT,SC-LC-7MT-SM,Optical Cable SC-LC-7MT SINGLE MODE ,150122PILv,48,SPARE
ERAT,SC-SC-10MT-SM,Optical Cable SC-SC-10MT SINGLE MODE ,150122PILv,7,SPARE
ERAT,SC-SC-15MT-SM,Optical Cable SC-SC-15MT SINGLE MODE ,150122PILv,41,SPARE
ERAT,SC-SC-20MT-SM,Optical Cable SC-SC-20MT SINGLE MODE ,150122PILv,10,SPARE
ERAT,SC-SC-25MT-SM,Optical Cable SC-SC-25MT SINGLE MODE ,150122PILv,133,SPARE
ERAT,SC-SC-2MT-SM,Optical Cable SC-SC-2MT SINGLE MODE CIFT KILLI,150122PILv,120,SPARE
ERAT,SC-SC-3MT-SM,Optical Cable SC-SC-3MT SINGLE MODE ,150122PILv,11,SPARE
ERAT,SC-SC-40MT-SM,Optical Cable SC-SC-40MT SINGLE MODE ,150122PILv,50,SPARE
ERAT,SC-SC-50MT-SM,Optical Cable SC-SC-50MT SINGLE MODE ,TTY-2,0,SPARE
ERAT,SC-SC-5MT-SM,Optical Cable SC-SC-5MT SINGLE MODE ,150122PILv,10,SPARE
ERAT,ST-ST-MM-10MT,Optical Cable Patchcord ST-ST Multimode 10mt x1,150122PILv,400,SPARE
ERAT,ST-ST-MM-5MT,Optical Cable PATCHCORD-ST-ST 5MT multimode x2,150122PILv,450,SPARE
TONGYU,TDJ-90152018D-33FT0,Antenna,VODAFONE,3,SPARE
ERICSSON,TSR432151/1000,CONNECTION/SIGNAL CABLE,150122PILv,75,SPARE
TONGYU,TYT-C122D001,DUAL BAND Combiner,150122PILv,14,SPARE
ERICSSON,UPA10134/2,UPA10134-2 Power Splitter 24-26GHZ System,150122PILv,52,SPARE
ERICSSON,UPA90114/2,Mini-Link UPA 901 14/2,150122PILv,75,SPARE
ERICSSON,URS19901/2S11,ANT2 I/F 38 HP/SHP  (Ericsson 38 GHz Single Polarization,150122PILv,40,SPARE
ANDREW,VHLP1-80-HW2,ANTENNA DIA 0.3m 80GHz  5psi(35kPa),150122PILv,1,SPARE
COMMSCOPE,VHLP2-80-HW2,Microwave Antenna.A80S06HAC.80G.600mm.HP.Single Polarization.Compact Mount.50.5dBi.0.5deg.25dB.With bracket,150122PILv,2,SPARE
COMMSCOPE,VHLPX2-11W-HW1A,Microwave Antenna -A10D06HAC -10&11G -600mm -HP -dual polarization -Direct(XMC)/Separate(All RTN ODU) Mount -34.5dBi -3.3deg -30dB,150122PILv,4,SPARE
CISCO,WS-F6700-DFC3B,Catalyst 6500 Policy Ftr Board/Dist Fwrd Board,150122PILv,1,SPARE
CISCO,WS-F6700-DFC3C,CISCO Catalyst 6500 Dist Fwd Board- 3CXL - for WS-X6,150122PILv,11,SPARE
CISCO,WS-F6700-DFC3CXL,CISCO Catalyst 6500 Dist Fwd Board- 3CXL - for WS-X6,150122PILv,3,SPARE
CISCO,WS-F6K-PFC3BXL,SUP720 PFC-3BXL,150122PILv,1,SPARE
CISCO,WS-X6704-10GE,  CISCO Catalyst 6500 04-port 10 Gigabit Ethernet fiber Module,150122PILv,0,SPARE
CISCO,WS-X6724-SFP,CISCO Catalyst 6500 24-port GigE Mod: fabric-enabl,150122PILv,1,SPARE
