VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
HUAWEI,02311QRL,Antenna pRRU3911-WD6MXAAD6AV0,150122PILv,88,SPARE
HUAWEI,02312ESG,OPTIX RTN 320 F OAU 2 F,150122PILv,42,SPARE
HUAWEI,02312RMS,TaiShan 200 (Model 2280) 512G Standard Configuration(2*Kunpeng 920-64Core@2.6GHz CPU -16*32G Memory -12*1200GB SAS HDD -Avgo3508(2G cache)+SuperCap -2*4 GE -2*4 10GE/25GE SFP+ -2*2000W AC).,150122PILv,2,SPARE
HUAWEI,02315204,Optical Transceiver -eSFP -GE -Multi-mode Module(850nm -0.55km -LC),150122PILv,750,SPARE
HUAWEI,02315639,WD2M00UEIU00 Universal Environment Interface Control Unit,150122PILv,348,SPARE
HUAWEI,02319419,IPCLK SERVER Module DUAL WITHOUT GPS QW3MM00PCKS03,150122PILv,3,SPARE
HUAWEI,02351606,24*E1/T1 DB100 to RJ48 Port Conversion Box,150122PILv,48,SPARE
HUAWEI,025030581,Power Cable - 600V/1000V - ROV-K - 2x4mm^2 - BLACK,150122PILv,700,SPARE
HUAWEI,025050238,CAT5E CABLE 305 MT  SYMMETRY TWIST OUTDOOR SFTP,150122PILv,4,SPARE
HUAWEI,027010829,Directional Antenna -DXX-790-960/1710-2180-65/65-15i/17.5i-M/M -4*7/16 DIN Female -Downtilt kit packed separately,150122PILv,17,SPARE
HUAWEI,03020MNS,AR0MXEGFTA00 24-Port 10/100/1000 Base RJ45 Ethernet Switch,150122PILv,10,SPARE
HUAWEI,03020PPD,TNDD00CXPH00 System Control.Cross-connect and Multi-protocol Process Unit(120ohm),150124TJKn,1,SPARE
HUAWEI,03020UGQ,TNH2SL4D - 2*STM-4 Optical Interface Board,150122PILv,2,SPARE
HUAWEI,03020WQV,SLB1PIU RTN 980 Power Interface Unit,150124TJKn,3,SPARE
HUAWEI,03021CGE,TN16SCC System Control and Communication Board,150122PILv,95,SPARE
HUAWEI,03021FSF,TN52UXCH - OSN 8800 3.2T Universal Cross Connect Board-ODUk -PKT -VC4,150122PILv,1,SPARE
HUAWEI,03021HER, TNF1OBU C-BAND Optical Booster Unit (MAX -3dBm IN and 20dBm OUT -Gain 23dB),150122PILv,1,SPARE
HUAWEI,03021PFK,SL91ISV3 Versatile IF Board,150124TJKn,5,SPARE
HUAWEI,03021VCC,AR-4ES2G-S 4-Port 1000-RJ45 L2 Ethernet Interface BOARD(SIC),150122PILv,35,SPARE
HUAWEI,03021YUV,CE-SFU12A CE12812 Switch Fabric Unit A,150122PILv,14,SPARE
