item_code,description,vendor,Consumable or not,
34439.01,LID8T 4.3-0 EPROM,,1,
34440.01,LID8Q 3.3-0 EPROM,,1,
34593.01,WDW36 SET FOR SWAPPING WD3C TO WDW,,1,
34593.02,WDW73 set for swapping WD3C to WDW,,1,
34772,ANTENNA MPA306H 2T,,1,
34773,ANTENNA MPA210 2T,,1,
35033,ANTENNA TÄ°LT KÄ°T T-068-ZN,,1,
35034,ANTENNA MOUNTÄ°NG KÄ°T F-069-ZN,,1,
35171,ANTENNA CJMPA401UCT,,1,
35439,FIBEAIR 1500 BASIC IN DOOR UNIT,NSN,1,
35440,FIBREAIR 1500 ADM BASIC IDU,OEM RADIOS,1,
35441,FIBEAIR 1528 BASIC IN DOOR UNIT,NSN,1,
35442,FIBREAIR 1528 ADM BASIC SM/SC IDU,NSN,1,
35443,8*E1 Main1 Channel Interface,Ceragon,1,
35444,8*E1 Main2 Channel Interface,Ceragon,1,
35445,ELECTRICAL INTERFACE CMI/BNC,OEM RADIOS,1,
35447,Sync. SM/SC+BNC for E1/SEC,Ceragon,1,
35448,"Optical Single-Mode, ST Connector",Ceragon,1,
35449,Hitless Switch,Ceragon,1,
35451,"G.703 E1 cable RJ-45, PRT-WC-E1_BAL",Ceragon,1,
35452,PHOS IDU BASIC MECHANIC KIT,OEM RADIOS,1,
35453,PHOS IDU IDC DUAL E1 DRAWER,NSN,1,
35455,PHOS IDU TRAFFIC DR.STM1 OPT SM/SC,NSN,1,
35465,PHOS IDU TRAFFIC DR.2XSTM1 OPT SM/SC,NSN,1,
35466,PHOS IDU TRAFFIC DR.STM E1 CMI/BNC,NSN,1,
35467,PHOS IDU TRAFFIC DR.2XSTM1 E1 CMI/BNC,NSN,1,
35468,XPIC ODU 7GHZ DX7 CONFÄ°G AB 7.1-7.9G,,1,
35469,"ODU, 7GHZ",NSN,1,
35470,"ODU, 8GHZ",NSN,1,
35473,"ODU,15GHZ,420TXRX,WB CH1-8,TX LOW",NSN,1,
35474,"ODU,15GHZ,420 TXRX,WB CH1-8,TX HIGH",NSN,1,
35476,"ODU,15GHZ,420 TXRX,WB CH8-15,TX LOW",NSN,1,
35477,"ODU,15GHZ,420 TXRX,WB CH8-15,TX HIGH",NSN,1,
35478,"ODU,ETSI,18GHZ,LOW BAND,TX LOW",NSN,1,
35479,"ODU,ETSI,18GHZ,LOW BAND, TX HIGH",NSN,1,
35480,"ODU,ETSI,18GHZ,HIGH BAND,TX LOW",NSN,1,
35481,"ODU,ETSI,18GHZ,HIGH BAND,TX HIGH",NSN,1,
35482,"ODU,ETSI,23GHZ,TX LOW",NSN,1,
35483,"ODU,ETSI,23GHZ,TX HIGH",NSN,1,
35484,"ODU,ETSI,26GHZ,HIGH BAND,TX LOW",NSN,1,
35485,ODU ETSI 26GHZ HÄ°GH BAND TX HÄ°GH,,1,
35486,"ODU,ETSI,26GHZ,LOW BAND,TX LOW",NSN,1,
35487,"ODU,ETSI,26GHZ,LOW BAND,TX HIGH",NSN,1,
35488,"ODU,ETSI,38GHZ,LOW BAND,TX LOW",NSN,1,
35489,"ODU,ETSI,38GHZ,LOW BAND,TX HIGH",NSN,1,
35490,"ODU,ETSI,38GHZ,HIGH BAND,TX LOW",NSN,1,
35491,"ODU,ETSI,38GHZ,HIGH BAND,TX HIGH",NSN,1,
35492,"2ft Antenna 7-8GHz, Standar, Andrew",Ceragon,1,
35493,"4ft Antenna 7-GHz, Standard",Ceragon,1,
35494,"6ft Antenna 7-GHz, Standard",Ceragon,1,
35495,"8ft, Antenna 7-8GHz, Standard Andrew",Ceragon,1,
35496,"2ft Antenna 7-8GHz, Standard, RFS",Ceragon,1,
35497,"4ft Antenna 7-8GHz, Standard, RFS",Ceragon,1,
35498,"6ft Antenna 7-8GHz, Standard, RFS",Ceragon,1,
35499,"8ft Antenna 7-8GHz, Standard, RFS",Ceragon,1,
35500,"4ft DP Antenna, 7GHz, Standard",Ceragon,1,
35501,"6ft DP Antenna, 7GHz, Standard",Ceragon,1,
35502,2FTANTENNA  15GHZ  CERAGON  ANDREW,,1,
35503,"2ft Antenna, 15GHz, Ceragon, RFS",Ceragon,1,
35504,"2ft DP Antenna, 15GHz",Ceragon,1,
35505,4FT ANTENNA  15GHZ  CERAGON  ANDREW,,1,
35506,"4ft Antenna, 15GHz, Ceragon, RFS",Ceragon,1,
35507,"4ft Antenna, 15GHz, Standard, RFS",Ceragon,1,
35508,"4ft DP Antenna, 15GHz",Ceragon,1,
35509,6FT ANTENNA  15GHZ  CERAGON,,1,
35510,"6ft DP Antenna, 15GHz",Ceragon,1,
35511,2FT ANTENNA  18GHZ  CERAGON,,1,
35512,4FT ANTENNA  18GHZ  CERAGON,,1,
35514,2FT ANTENNA  23GHZ  CERAGON,,1,
35515,4FT ANTENNA  23GHZ  CERAGON,,1,
35517,1FT ANTENNA  26GHZ  CERAGON,,1,
35523,2FT ANTENNA  26GHZ  CERAGON,,1,
35524,4FT ANTENNA  26GHZ  CERAGON,,1,
35525,2FT ANTENNA  38GHZ  CERAGON,,1,
35526,"1+0 ODU Remote Antenna Mount,7-8GHz",Ceragon,1,
35527,"1+1 ODU Remote Antenna Mount,7-8GHz",Ceragon,1,
35530,1+1 ODU SÄ°NGLE ANTENNA MOUNT 18GHZ,,1,
35531,1+1 ODU SÄ°NGLE ANTENNA MOUNT 26GHZ,,1,
35532,1+1 ODU SÄ°NGLE ANTENNA MOUNT 38GHZ,,1,
35533,1+1 ODU Single Antenna Mount 26GHz,Ceragon,1,
35534,ADM 1+1 Protection Kit SM,Ceragon,1,
35535,Basic Protection Kit,Ceragon,1,
35536,SM/SC/13 Splitter cable,Ceragon,1,
35537,SM/ST/13 Splitter cable,Ceragon,1,
35538,CMI/BNC Cable,Ceragon,1,
35539,USER CHANNEL MANAGEMENT PROT.KÄ°T,,1,
35540,1FT ANTENNA  15GHZ  CERAGON,,1,
35541,ADM 1+1 PROTECTÄ°ON  BCN ADAPTATÄ°ON,,1,
35542,"Diplexer 7GHz,TxRx B1 168MHz",Ceragon,1,
35543,"Diplexer 7GHz,TxRx B2 168MHz",Ceragon,1,
35544,"Diplexer 7GHz,TxRx B3 168MHz",Ceragon,1,
35545,"Diplexer 7GHz,TxRx B4 168MHz",Ceragon,1,
35546,"Diplexer 7GHz,TxRx B5 168MHz",Ceragon,1,
35547,"Diplexer 7GHz,TxRx A01 154MHz",Ceragon,1,
35548,"Diplexer 7GHz,TxRx A02 154MHz",Ceragon,1,
35549,"Diplexer 7GHz,TxRx A03 154MHz",Ceragon,1,
35550,"Diplexer 7GHz,TxRx A05 154MHz",Ceragon,1,
35562,ECI Micro SDM-1 E 21xE1 ADM S-1.1,Ceragon,1,
35563,DDF-63 E1 120 Ohms (Krone Based),Ceragon,1,
35564,DDF-21 E1 120 Ohms (Krone Based),Ceragon,1,
35569,FÄ°BER PATCH CORD SM SC/FC 3M,,1,
35570,FÄ°BER PATCH CORD SM SC/SC 3M,,1,
35571,IF Cable between ODU & IDU,Ceragon,1,
35572,N Type Connectors,Ceragon,1,
35573,Lightening Protector Kit,Ceragon,1,
35700,FÄ°BER PATCH CORD SM SC/FC 10M,,1,
35701,FÄ°BER PATCH CORD SM SC/SC 10M,,1,
35969,CL2TG-S 1.36-0 EPROM,,1,
35969,CL2TG-S 1.36-0 EPROM (SINGLE),TDR FINLAND,1,
35970,CL2TG-S 1.37-0 EPROM,,1,
35970,CL2TG-S 1.37-0 EPROM (SINGLE),TDR FINLAND,1,
35972,SWCOP-A 2.12-0 EPROM,,1,
35972,SWCOP-A 2.12-0 EPROMS (PAIRS),TDR FINLAND,1,
35973,CLAB-S 3.5-0 EPROM,,1,
35973,CLAB-S 3.5-0 EPROM (PAIR),TDR FINLAND,1,
35981,TERMINAL VT5510 INC. UK KEYBOARD,,1,
35982,CABLE VDU S-FTP D2,,1,
35982,CABLE VDU S-FTP D2,NOKIA,1,
35983,DÄ°SPLAY 17 Ä°NCH FOR VDU,,1,
35983,DISPLAY 17 INCH FOR VDU,NSN,1,
36151,TRCO 6.1-0 EPROM,,1,
36151,TRCO 6.1-0 EPROMS (SINGLE),TDR FINLAND,1,
36171,Comtest 24p splitter w/Test Access Card,,1,
36173,Comtest shelf for splitters/test unit,,1,
36174,Comtest Access Master Controller Card,,1,
36175,Eltek Down converter for ERA cab. 4pcs,,1,
36176,Eltek GMT fuse panel for ERA 30pcs,,1,
36181,19/23 in. Eltek RPS shelf,,1,
36184,Eltek DC converter for CO power 4pcs,,1,
36185,Eltek VA limiter for CO power 4pcs,,1,
36226,CL3TG 1.35-0 EPROM,,1,
36226,CL3TG 1.35-0 EPROM (SINGLE),TDR FINLAND,1,
36227,ET2E-SC 1.2-0 EPROM,,1,
36227,ET2E-SC 1.2-0 EPROMS (SINGLE),TDR FINLAND,1,
36262,SWCOP-S 1.22-0 EPROM,,1,
36262,SWCOP-S 1.22-0 EPROM (PAIR),TDR FINLAND,1,
36263,CP4HX 1.22-0 EPROM,,1,
36263,CP4HX 1.22-0 EPROM,,1,
36286,HMS SLAVE 2.1-16 EPROM,,1,
36286,HMS Slave 2.1-16 EPROM,,1,
36288,DSCO 3.4-0 EPROM,,1,
36288,DSCO 3.4-0 EPROM,,1,
36298,EC2ET 1.14-0 EPROM,,1,
36298,EC2ET 1.14-0 EPROMS (SINGLE),TDR FINLAND,1,
36390,ET1E 1.12-0 EPROM,,1,
36390,ET1E 1.12-0 EPROM,,1,
36875,ET1E 1.3-0 EPROM FOR VERSÄ°ON 01,,1,
36875,ET1E 1.3-0 EPROM FOR VERSION 01,,1,
36876,ET1E 1.3-0 EPROM FOR VERSÄ°ON 02,,1,
36876,ET1E 1.3-0 EPROM FOR VERSION 02,,1,
37012,ET2E-C 1.21-0 EPROM,,1,
37012,ET2E-C 1.21-0 EPROMS (SINGLE),TDR FINLAND,1,
37016,EC2ET-C 1.14-0 EPROM,,1,
37016,EC2ET-C 1.14-0 EPROMS (SINGLE),TDR FINLAND,1,
37102,02E1 MRIU 1RU,,1,
37106,16E1 MRIU 1RU,,1,
37108,08E1 MRIU 1RU,,1,
37114,04E1 MRIU 1RU,,1,
37120,16E1 MUX  1RU,,1,
37122,INTERFACE PANEL NP,,1,
37207,ET1E-C 1.12-0 EPROM,,1,
37207,ET1E-C 1.12-0 EPROM,,1,
37220,23G 02E1 RFU HI LNC,,1,
37221,23G 02E1 RFU LO LNC,,1,
37222,23G 02E1 RFU HI MIX AMP,,1,
37223,23G 02E1 RFU LO MIX AMP,,1,
37240,23G 04E1 RFU HI LNC,,1,
37241,23G 04E1 RFU LO LNC,,1,
37243,23G 04E1 RFU LO MIX AMP,,1,
37243,CLAB 3.3-0 EPROM (PAIR),TDR FINLAND,1,
37260,23G 16E1 RFU HI LNC,,1,
37261,23G 16E1 RFU LO LNC,,1,
37263,23G 16E1 RFU LO MIX AMP,,1,
37280,23G 08E1 RFU HI LNC,,1,
37281,23G 08E1 RFU LO LNC,,1,
37282,23G 08E1 RFU HI MIX AMP,,1,
37283,23G 08E1 RFU LO MIX AMP,,1,
37322,IC ODU AND DÄ°SH UP TO 180CM/BBS,,1,
37461,38G MHSB KIT 04 2RU,,1,
37462,23G MHSB KIT 16 1RU,,1,
37463,23G MHSB KIT 08 1RU,,1,
37476,ANTENNA JPX310D,,1,
37483,ERA cabinet heat exchanger,,1,
37494,ERA cabinet CONTROLLER BOARD,,1,
37511,XPIC CABLE,,1,
37512,IDC Y CABLE FOR 2 X E1/T1,,1,
37517,XPIC ODU 6GHZ HÄ°GH 6.4-7.1GHZ,,1,
37518,XPIC ODU 11GHZ LOW TX HIGH,NSN,1,
37519,XPIC ODU 11GHZ LOW TX LOW,NSN,1,
37520,PROT KÄ°T EXT WS-E1 STM2 SM/SC,,1,
