VENDOR,PART NUMBER,DESCRIPTION,MARKET PRICE (EUR),LAST FOUND LIST PRICE (USD),Weight,Dimension ,Remarks
,S31043-K1165-X-4,Power Supply GR60,,,,,
,S7201-T6815-A1,DCDC,,,,,
,S7201-T6823-S1,,,,,,
,SBM2048VG,MatrisDXX Mini Node SBM 2048VG,,,,,
,SC-SC,Cable,,,,,
,SC/SC/SM/15M,SC/SC Simglemode 9/125 Fibre patch,,,,,
,SCP6861-A1-ZW,L-1.2 // 1AB194670003,,,,,
,SCSC09SYE7,SC/UPC-SC/UPC 7M Patchcord,,,,,
,SFP-10G-BX20U-SO,1270TX/1330RX,,,,,
,SG9PC256HYA1I,256MB Flash Memory Card,,,,,
,SJ018-2ST4-A,HUAWEI RRU power connector 48V 30A ,,,,,
,SMF28005050,SMF2800-50-50,,,,,
,SN516B,5ESS CONTROL & DISPLAY,,,,,
,SN730,ESS5 AUTO PWR RESTART,,,,,
,SSD-C01GI-4626,WD SiliconDrive 1GB Compact Flash,,,,,
,SSR-2-LX-AA,2 X 1000B-LX PORTS,,,,,
,TEO-1.25GSFP-10,1310nm SMF,,,,,
,TG784N,ROUTER TECHNICOLOR,,,,,
,TN1034,CIRCUIT PACK,,,,,
,TN1042B,5ESS PCIRCUIT INTERFACE,,,,,
,TN1083C,5ESS PACKET FANOUT,,,,,
,TN128,5ESS CP,,,,,
,TN1285B,STABILITY OSCILLATOR,,,,,
,TN137B,5ESS OFFICE ALARM UN,,,,,
,TN138,5ESS METALLIC ACCESS,,,,,
,TN1415,DFI2-X PACK 5ESS,,,,,
,TN1820B,3B I/O PROCR PWR SW UN,,,,,
,TN1821B,3B CONTROL UNIT POWER SWITCH,,,,,
,TN1842,5ESS SASDSC UN,,,,,
,TN1996,5ESS CONTROL & DATA UNIT,,,,,
,TN2116,5ESSCONT FANOUT ,,,,,
,TN220B,5ESS CONTROL & DATA UNIT,,,,,
,TN221, HOST ADAPTER,,,,,
,TN82B,5ESS CP,,,,,
,TN833C,TTY PERIPHERAL CONTROLLER,,,,,
,TN851,CIRCUIT BOARD MC4C052A1E,,,,,
,TN856C,DIGITAL SERVICE CIRCUIT ,,,,,
,TN867,5ESS CP,,,,,
,TN870,LUCENT 5ESS MICROCODE CP,,,,,
,TN882,CIRCUIT PACK,,,,,
,TN883,LUCENT 5ESS FDN LK INTERFACE,,,,,
,TN884C,5ESSTMS2 CONTROLLER BOARD,,,,,
,TN886,LUCENT CIRCUIT BOARD,,,,,
,TN896,5ESS CP,,,,,
,TN897,5ESS CP,,,,,
,TN898C,5ESS ESS#5 PACK CIRCUIT,,,,,
,TN983,Circuit Board,,,,,
,UKL40104/15,RAU 38/15,,,,,
,VHLP2-26-HW1B,RiFu Antenne 0 6m 26Gig,,,,,
,XFCU40,,,,,,
 NOKIA,471605A,FYMA GPS MOUNTING KIT,,,,,
 NOKIA,472577A,FTSH GPS CABLE ASSEMBLY 100M,,,,,
 NOKIA,474074A,FYGC GNSS RECEIVER ANTENNA,,,,,
10GTEK,AXS85-192-M3,10Gbps SFP+SR 850nm 300m,,,,,
3COM,009-3290-000,PWR SUPPLY,,,,,
3COM,1.009.1531-01,130A DC Power Supply TYPE 9 PSU,,,,,
3COM,1.009.915-01, 130 A DC Power Supply TYPE 5 PSI,,,,,
3COM,1.009.916-01,009-3291-000 - DC Power Supply 130,,,,,
3COM,1.011.688-C,FAN MODULE,,,,,
3COM,10016356,BASELINE SWITCH,,,,,
3COM,1698-510-051,3300XM SWITCH,,,,,
3COM,1720-610-050-6,SUPERSTACK 2 SWITCH 4400 SERIES 24 PORTS,,,,,
3COM,3C996SX,INTERFACE CARD,,,,,
